cluster_id,size,dominant_language,purity,language_distribution
26,96,Korean,1.0,{'Korean': 96}
12,80,Italian,1.0,{'Italian': 80}
25,69,Korean,1.0,{'Korean': 69}
14,59,Italian,1.0,{'Italian': 59}
17,58,Korean,1.0,{'Korean': 58}
13,52,Italian,1.0,{'Italian': 52}
27,49,Korean,1.0,{'Korean': 49}
0,47,German,1.0,{'German': 47}
36,46,Spanish,1.0,{'Spanish': 46}
8,43,German,1.0,{'German': 43}
15,40,Italian,1.0,{'Italian': 40}
31,37,Spanish,1.0,{'Spanish': 37}
9,36,German,1.0,{'German': 36}
18,36,Korean,1.0,{'Korean': 36}
2,33,German,1.0,{'German': 33}
1,29,German,1.0,{'German': 29}
33,27,Spanish,1.0,{'Spanish': 27}
34,27,Spanish,1.0,{'Spanish': 27}
32,26,Spanish,1.0,{'Spanish': 26}
35,26,Spanish,1.0,{'Spanish': 26}
20,20,Korean,1.0,{'Korean': 20}
28,19,Korean,1.0,{'Korean': 19}
29,19,Korean,1.0,{'Korean': 19}
21,18,Korean,1.0,{'Korean': 18}
19,17,Korean,1.0,{'Korean': 17}
22,16,Korean,1.0,{'Korean': 16}
5,15,German,1.0,{'German': 15}
10,15,German,1.0,{'German': 15}
23,15,Korean,1.0,{'Korean': 15}
6,14,German,1.0,{'German': 14}
11,14,German,1.0,{'German': 14}
16,14,Italian,1.0,{'Italian': 14}
24,14,Korean,1.0,{'Korean': 14}
7,13,German,1.0,{'German': 13}
30,11,Korean,1.0,{'Korean': 11}
4,10,German,1.0,{'German': 10}
3,9,German,1.0,{'German': 9}
