cluster_id,size,dominant_language,purity,language_distribution
33,207,Korean,1.0,{'Korean': 207}
1,138,German,1.0,{'German': 138}
15,80,Italian,1.0,{'Italian': 80}
41,80,Spanish,1.0,{'Spanish': 80}
16,77,Italian,1.0,{'Italian': 77}
17,74,Italian,1.0,{'Italian': 74}
14,70,Italian,1.0,{'Italian': 70}
32,69,Korean,1.0,{'Korean': 69}
34,65,Spanish,1.0,{'Spanish': 65}
26,58,Korean,1.0,{'Korean': 58}
28,55,Korean,1.0,{'Korean': 55}
37,54,Spanish,1.0,{'Spanish': 54}
27,50,Korean,1.0,{'Korean': 50}
25,49,Korean,1.0,{'Korean': 49}
0,47,German,1.0,{'German': 47}
35,47,Spanish,1.0,{'Spanish': 47}
8,46,German,1.0,{'German': 46}
2,37,German,1.0,{'German': 37}
9,36,German,1.0,{'German': 36}
10,34,German,1.0,{'German': 34}
11,32,German,1.0,{'German': 32}
12,32,German,1.0,{'German': 32}
6,28,German,1.0,{'German': 28}
38,27,Spanish,1.0,{'Spanish': 27}
39,27,Spanish,1.0,{'Spanish': 27}
7,24,German,1.0,{'German': 24}
5,23,German,1.0,{'German': 23}
22,21,Italian,1.0,{'Italian': 21}
29,20,Korean,1.0,{'Korean': 20}
42,17,Spanish,1.0,{'Spanish': 17}
13,15,German,1.0,{'German': 15}
21,14,Italian,1.0,{'Italian': 14}
24,14,Italian,1.0,{'Italian': 14}
31,14,Korean,1.0,{'Korean': 14}
18,13,Italian,1.0,{'Italian': 13}
36,12,Spanish,1.0,{'Spanish': 12}
30,11,Korean,1.0,{'Korean': 11}
3,10,German,1.0,{'German': 10}
4,10,German,1.0,{'German': 10}
19,10,Italian,1.0,{'Italian': 10}
20,10,Italian,1.0,{'Italian': 10}
23,10,Italian,1.0,{'Italian': 10}
40,9,Spanish,1.0,{'Spanish': 9}
